Product Name,Code,Batch No,"MFI (gm/10min)
(min)","MFI (gm/10min)
(max)","Density
(gm/cc)
(min)","Density
(gm/cc)
(max)","Ash Content
(%)
(min)","Ash Content
(%)
(max)","Moisture
(%)","TS @ yield(MPa)
(min)","TS @ yield(MPa)
(max)","El@yl ( % )
(min)","El@yl ( % )
(max)","Flexural Modulus(MPa)
(min)","Flexural MS(MPa)
(max)","Flexural Strength @ PL(MPa)
(min)","FS @ PL(MPa)
(max)",Izod imp(J/m)(min),"500
(min)","500
(max)",Izod imp(J/m)(max),Flammability @3.2 mm (Rating),"Flammability
(thickness (mm))","HDT 
(Min) ( °C )","HDT
(max) (°C)",Glow Wire Test @ 3.2mm (°C),"Glow Wire Test
thickness (mm)","El@Brk ( % )
(min)","El@Brk ( % )
(max)",Remark,Rev. No.,COLOR,"Mould Shrinkage, Linear(%)",Water Absorption(%),"Un-Notched Izod Impact Strength @ 23°C, 3.2 mm		","Melting Point(°C)
(min)","Un-annealed, HDT @ 0.455 MPa	",Vicat Softening Point,Coefficient of Linear Thermal Expansion                ,Comparative Tracking Index,Dielectric Strength(KV/mm),Dielectric Constant(Unit Less),Volume Resistivity (Ohm.cm),Surface Resistivity(Ohm),Drying Temperature Dehumidified dryer(°C),Drying Time(Hrs),Rear Temperature(°C),Middle Temperature(°C),Front Temperature,Nozzle Temperature(°C),Mold Temperature(°C),MFI TEST CONDITION,"Mould Shrinkage, transverse","Tensile Strength at Yield, TEST CONDITION","Tensile Modulus, TEST CONDITION",Elongation at Yield TEST CONDITION,Flexural Strength TEST CONDITION,Flammability @0.8,Flammability @1.6,GWT @0.8,GWT @1.6,L (min),a (min),b (min),Issue Date,L (max),a (max),b (max),,ROHS,REACH,Halogen Free,Long Cut,Color Variation (Black Spot Free),Finish (Shine/Dull),Recycle Content Type (PIR/PCR),PIR %tage,PCR %tage,Yellow Card,Phosphorus Free,Persistent organic pollutants (POP),Aesthetic function,Railway fire smoke requirements (EN45545),Friction resistance,"Fatigue resistance  {ISO 13003 (flexure fatigue),ISO 15850 (delamination)}",Ozone resistance,Chemical resistance ,Laser printing,Pad printing,Labelling ,"Welding Precise mode (laser, ultrasonic, ..)",Delta E,Transmittance,GWT or UL Seconds
CiLON™ 25%MF + 15%GF PA66 Black,720C4301,,10,30,1.46,1.5,38,42,0.2,80,100,4,8,"4,000.00","6,000.00",130,150,50,-,-,-,-,-,235,245,-,-,-,-,-,Rev. No. 00,Black,0.25,1,-,260 ± 3,-,-,-,-,-,-,-,-,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.3,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,5/21/2024 17:10,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
ZiLITE™ 30% GF PET Black,740C3004,,10,20,1.6,1.64,28,32,0.2,120,140,5,9,"5,500.00","6,500.00",200,220,80,,,,-,3.2,200,210,,,,,,Rev. No. 00,Black,0.4,0.25,,255 ± 3,,,,,,,,,80 - 100,4-Feb,220 - 240,240 - 260,250 - 270,270 - 300,70 - 90,275 °C/2.16kg,0.7,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,5/27/2024 18:10,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
PiCAN™ 20% MF PC+PBT Grey,760C2181,,65,85,1.47,1.51,18,22,0.2,45,65,3,7,"3,500.00","5,500.00",80,100,30,-,-,-,-,-,140,150,-,-,-,-,-,Rev. No. 00,Grey,0.4,1,-,-,-,-,-,-,-,-,-,-,100 - 120,6-Apr,250 - 270,250 - 280,260 - 280,250 - 270,60 - 100,260°C/5kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,6/1/2024 15:08,-,-,-,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 30% GF PA66 Heat Stabilized Green ,720C3051HS,,6,16,1.34,1.38,28,32,0.2,140,160,3,5,"4,500.00","6,500.00",240,260,80,,,,,,255,265,-,-,-,-,,Rev. No. 01,Green,0.3,< 3.00,,260 ± 5,,,,,,,,,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,< 0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,6/1/2024 15:08,-,-,-,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
ZiLITE™ 50% GF PET Black,740C5002,,2,8,1.7,1.74,48,52,0.2,120,140,5,9,"8,000.00","9,000.00",210,240,120,,,,-,,230,240,,,,,,Rev. No. 00,Black,0.3,0.25,,250 ± 5,,-,-,-,-,-,-,-,100 - 140,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,80 - 110,265°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,6/1/2024 15:49,-,-,-,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
ZiLITE™ 20% GF PBT White,730C2095,,10,30,1.38,1.42,18,22,0.2,70,90,6,10,"3,000.00","5,000.00",140,160,50,-,-,-,-,3.2,170,180,-,-,-,-,-,Rev. No. 00,White,0.4,1,,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,60 - 90,250°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,6/5/2024 12:50,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 30% GF PA6 Natural,710C3034,,10,20,1.32,1.36,28,32,0.2,150,180,6,10,"5,000.00","7,000.00",250,280,130,-,-,-,,3.2,200,210,-,-,-,-,-,Rev. No. 00,Natural,0.3,1,-,220 ± 2,215,-,-,-,-,-,-,-,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,6/5/2024 18:25,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 40% GF PA6 HS Natural,710C4031HS,,10,20,1.42,1.46,38,42,0.2,170,200,6,10,"5,000.00","7,000.00",280,320,150,-,-,-,-,-,210,220, -,3.2,-,-,-,Rev. No. 00,Natural,0.3,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275 °C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,6/6/2024 17:15,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
PiCAN™  5% GF PC UV Stabilized RAL7035 Grey,750C0083,,7,11,1.22,1.26,3,7,0.2,60,70,8,12,"2,000.00","4,000.00",120,140,100,-,-,-,-,145,155,-,-,-,-,-,-,Rev. No. 00,RAL7035 Grey,0.6,1,-,-,-,-,-,-,-,-,-,-,80 - 120,4-Feb,230 - 240,240 - 250,250 - 260,270 - 280,70 - 100,300°C/1.2kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,6/24/2024 12:52,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 50% GF PA6 HF Black,710C5001HF,,60,80,1.5,1.54,48,52,0.2,130,150,6,10,"7,000.00","11,000.00",230,260,80,-,-,-,-,3.2,210,220,-,-,-,-,-,Rev. No. 00,Black,0.2,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,240 - 250,250 - 260,270 - 290,70 - 90,275°C/2.16kg,0.2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,6/25/2024 13:25,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 25% GF Halogen & Phosphorus Free FR PA66 RAL 7035 Grey,720C2082F1,,15,25,1.36,1.4,27,31,0.2,75,95,3,7,"6,000.00","8,000.00",95,115,30,-,-,-,V0,3.2,220,230,960,3.2,-,-,-,Rev. No. 00,RAL7035 Grey,0.4,1,-,-,-,-,-,-,-,-,-,-,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V0,V0,960,960,81.58,-1.08,2.13,6/28/2024 13:21,81.68,-1.18,2.23,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
CiLON™ 25% GF Red Phosphorus FR PA66 RAL 7016 Grey ,720C2082F2,,10,20,1.36,1.4,27,31,0.2,100,120,5,9,"5,000.00","7,000.00",140,160,50,-,-,-,V0,3.2,220,230,960,3.2,-,-,-,Rev. No. 00,RaL7016 Grey,0.4,1,-,-,-,-,-,-,-,-,-,-,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V0,750,960,34.5,-1.46,-2.46,6/28/2024 13:21,34.6,-1.56,-2.56,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
PiCAN™ 20% GF FR PC Natural,750C2031F,,5,10,1.33,1.37,18,22,0.2,90,110,5,9,"4,500.00","5,500.00",150,170,100,-,-,-,V0,1.5,130,140,-,-,-,-,-,Rev. No. 00,Natural,0.4,1,-,-,150 ± 5,-,-,-,,-,-,-,80 - 120,4-Feb,230 - 240,240 - 250,250 - 260,270 - 280,70 - 100,300°C/1.2kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V0,-,-,,,,6/28/2024 16:20,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
CiLON™ 25% GF FR PA66 Natural,720C2032F,,15,25,1.36,1.4,23,27,0.2,120,140,6,10,"6,000.00","8,000.00",220,240,70,-,-,-,V0,3.2,220,230,825,3.2,-,-,-,Rev. No. 00,Natural,0.5,1,-,260 ± 3,-,-,-,-,-,-,-,-,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V0,960,825,,,,6/28/2024 18:04,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
CiLON™ 30% GF + 15% PTFE Filled PA66 Natural ,720C3531,,5,15,1.36,1.4,28,32,0.2,130,150,4,8,"6,000.00","8,000.00",225,245,70,-,-,-,-,-,230,240,-,-,4,8,-,Rev. No. 00,Natural,0.3,1,-,260 ± 3,-,-,-,-,-,-,-,-,80 - 100,5-Mar,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,6/29/2024 15:34,-,-,-,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 30% GF FR PA6 Natural,710C3033F,,10,20,1.46,1.5,28,32,0.2,130,150,4,8,"6,000.00","10,000.00",230,260,100,-,-,-,V2,3.2,195,205,960,3.2,-,-,-,Rev. No. 00,Natural,0.3,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,245 - 255,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,7/4/2024 13:59,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
ZiLITE™ 30%GF FR PBT RAL7031 Grey,730C3087F,,15,25,1.62,1.66,28,32,0.15,100,120,5,9,"5,000.00","7,000.00",160,180,60,-,-,-,V0,3.2,190,200,-,-,-,-,-,Rev. No. 00,RAL7031 Grey,0.6,-,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V0,V0,960,960,,,,7/4/2024 15:38,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
eCiLON™ 33% GF PA66 Heat Stabilized Black,721C3002HS,,10,20,1.34,1.38,31,35,0.2,130,150,6,10,"4,800.00","5,200.00",215,245,80,-,-,-,-,3.2,225,235,-,-,-,-,-,Rev. No. 00,Black,0.3,1,-,260 ± 3,-,-,-,> 250,-,-,1.00E+12,1.00E+12,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,7/12/2024 17:25,-,-,-,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 25% MF FR PA6 Grey,710C2282F,,25,35,1.36,1.4,23,27,0.2,40,50,3,7,"3,500.00","5,500.00",70,80,35,-,-,-,V2,3.2,140,150,960,3.2,-,-,-,Rev. No. 00,Grey,1,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,32-4,220-230,230-240,240-250,260-280,60-90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V2,960,960,79.49,-0.94,3.33,7/13/2024 14:48,79.59,-1.04,3.43,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
CiLON™ 25% GF Halogen & Phosphorus Free FR Laser Markable PA66 RAL 7035 Grey,720C2082F1L,,15,25,1.36,1.4,27,31,0.2,75,95,3,7,"6,000.00","8,000.00",95,115,30,-,-,-,V0,3.2,220,230,960,3.2,-,-,-,Rev. No. 00,RAL7035 Grey,0.4,1,-,-,-,-,-,-,-,-,-,-,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V0,V0,960,960,81.58,-1.08,2.13,7/16/2024 13:29,81.68,-1.18,2.23,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
CiLON™ UF PA6 RAL9010 White,710C0092,,30,60,1.1,1.14,,1,0.2,55,65,6,10,"1,800.00","2,800.00",95,105,50,-,-,-,-,-,60,70,-,-,-,-,-,Rev. No. 00,RAL9010 White,1.2,1,,220 ± 2,180,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,1.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,7/16/2024 16:18,-,-,-,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 25% GF PA66 Brown,720C2013,,15,25,1.27,1.31,23,27,0.2,140,160,5,9,"5,000.00","7,000.00",230,260,70,-,-,-,-,3.2,200,210,-,-,-,-,-,Rev. No. 00,Brown,0.5,1,-,260 ± 3,-,-,-,550,-,-,-,-,80 - 100,4-Feb,250 - 260,270 - 280,280 - 290,290 - 310,80 - 110,275°C/2.16kg,0.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,39.8,2.24,11.22,7/16/2024 18:01,39.9,2.34,11.32,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
HiLENE™ UF PP IM White ,510C0092,,6,10,0.89,0.91,-,1,0.2,20,28,6,10,800,"1,200.00",30,38,100,-,-,-,-,-,55,65,-,-,6,10,-,Rev. No. 00,White,2,0.25,-,160 ± 3,95 ± 5,-,-,-,-,-,-,-,60 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2.2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,7/19/2024 10:58,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
PiCAN™ 20% GF FR PC RAL7035 Grey,750C2081F,,5,10,1.33,1.37,18,22,0.2,90,110,5,9,"4,500.00","5,500.00",150,170,100,-,-,-,V0,1.5,130,140,-,-,-,-,-,Rev. No. 00,RAL 7035 Grey,0.4,1,-,-,150 ± 5,-,-,-,,-,-,-,80 - 120,4-Feb,230 - 240,240 - 250,250 - 260,270 - 280,70 - 100,300°C/1.2kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V0,-,-,-,-,-,7/19/2024 14:38,,,,,Yes,Yes,Yes,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
eHiLENE™ UF PP Black,501C0001,,5,15,0.89,0.93,,2,0.2,25,31,8,12,800,"1,800.00",35,40,100,-,-,-,-,-,50,60,-,-,-,-,-,Rev. No. 00,Black,1.8,1,-,160 ± 3,-,-,-,-,-,-,-,-,80 - 100,4-Feb,160 - 170,170 - 180,190 - 190,190 - 200,60 - 80,230°C/2.16,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,7/24/2024 15:56,-,-,-,,,,,,,,PIR + PCR,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
eHiLENE™ UF PP Translucent White,501C0091T,,5,15,0.89,0.93,,2,0.2,25,31,8,12,800,"1,800.00",35,40,100,-,-,-,-,-,50,60,-,-,-,-,-,Rev. No. 00,White,1.8,1,-,160 ± 3,-,-,-,-,-,-,-,-,80 - 100,4-Feb,160 - 170,170 - 180,190 - 190,190 - 200,60 - 80,230°C/2.16,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,7/29/2024 12:20,-,-,-,,,,,,,,PIR,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ 55% MF PA6 White,710C5291N,,5,15,1.54,1.58,53,57,0.2,70,80,2,6,"4,500.00","6,500.00",100,120,40,-,-,-,-,-,150,160,-,-,2,6,-,Rev. No. 00,White,0.4,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 270,60 - 70,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,90.98,-0.45,1.5,7/29/2024 14:26,,91.18,-0.55,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
CiLON™ UF FR PA6 RAL7035 Grey,710C0081FB,,20,40,1.14,1.18,0,2,0.3,50,60,8,12,"1,800.00","2,800.00",80,100,40,-,-,-,V2,3.2,55,65,860,3.2,-,-,N/A,Rev. No. 00,RAL7035 Grey,2,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,60 - 90,275°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V2,860,860,80.4,-0.76,0.86,7/30/2024 12:56,< 0.5,80.6,-0.86,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,3
CiLON™ 30% GF PA6 Pure Natural,710C3035,,7,17,1.3,1.34,28,32,0.2,110,130,6,10,"5,000.00","7,000.00",180,200,180,-,-,-,-,3.2,200,210,-,-,-,-,-,Rev. No. 00,Natural,0.3,1,-,220 ± 2,215,-,-,-,-,-,-,-,80 - 100,4-Feb,230 - 240,240 - 250,250 - 260,260 - 280,60 - 80,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,8/1/2024 16:24,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,,
ZiLITE™ 30% GF PBT Hydrolysis Resistance and Laser Markable Black,730C3001HDL,,15,25,1.48,1.52,28,32,0.2,100,120,4,8,"5,000.00","7,000.00",180,200,80,-,-,-,-,3.2,195,205,-,-,-,-,-,Rev. No. 00,Black,0.5,0.25,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,-,-,-,8/5/2024 14:04,-,-,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
eCiLON™ 20% GF FR PA6 RAL 7035 Grey,711C2081F1,,15,25,1.34,1.38,18,22,0.2,80,100,6,10,"4,000.00","5,000.00",130,150,60,,,,V2,3.2,160,170,960,3.2,,,,Rev. No. 00,RAL7035 Grey,0.4,0.4,,220 ± 2,,,,600,,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V2,960,960,,,,8/5/2024 14:04,,,,,,,,,,,,,20,,,,,,,,,,,,,,0.5,,3
ZiLITE™ 30% GF FR PBT White,730C3095F,,10,30,1.6,1.64,28,32,0.2,90,110,6,10,"5,500.00","7,500.00",150,170,50,-,-,-,-,-,190,200,-,-,-,-,-,Rev. No. 00,White,0.3,0.25,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,0.3,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V2,-,-,-,-,-,8/6/2024 10:27,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 20% GF FR PA6 RAL 7047 White,710C2091MF,,8,18,1.34,1.38,18,22,0.2,80,100,6,10,"4,000.00","5,000.00",130,150,50,,,,V2,3.2,160,170,,,,,,Rev. No. 00,RAL7047 White,0.4,0.4,,220 ± 2,,,,,,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V2,-,-,-,-,-,8/6/2024 13:20,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 20% GF FR PA6 RAL 9003 White,710C2092MF,,8,18,1.34,1.38,18,22,0.2,80,100,6,10,"4,000.00","5,000.00",130,150,50,,,,V2,3.2,160,170,960,3.2,,,,Rev. No. 00,RAL9003 White,0.4,0.4,,220 ± 2,,,,,,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V2,960,960,-,-,-,8/6/2024 13:20,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
eCiLON™ 20% GF FR PA6 RAL 9003 White,711C2092F,,15,25,1.34,1.38,18,22,0.2,80,100,6,10,"4,000.00","5,000.00",130,150,60,,,,V2,3.2,160,170,960,,,,,Rev. No. 00,RAL9003 White,0.4,0.4,,220 ± 2,,,,600,,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,1,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V2,960,960,-,-,-,8/6/2024 13:20,-,-,-,,,,,,,,,,20,,,,,,,,,,,,,,0.5,,3
ZiLITE™ 40% GF FR PBT Black,730C4001F,,10,20,1.72,1.76,38,42,0.2,120,140,5,9,"5,500.00","7,500.00",220,240,100,,,,V0,3.2,205,215,960,,,,,Rev. No. 00,Black,0.3,0.25,-,225 ± 2,,-,,,,,,,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,0.6,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,V0,-,960,,,,8/12/2024 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
ZiLITE™ 30% GF PBT Orange,730C3021,,10,30,1.48,1.52,28,32,0.2,90,110,5,9,"4,000.00","6,000.00",140,160,60,-,-,-,-,-,195,205,-,-,-,-,-,Rev. No. 00,Orange,0.4,1,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 270,70 - 90,250°C/2.16kg,0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,67.8,40.63,65.51,8/13/2024 16:10,< 1,67.9,40.73,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ 30% GF PBT Grey,730C3082,,10,30,1.48,1.52,28,32,0.2,90,110,5,9,"4,000.00","6,000.00",140,160,60,-,-,-,-,-,195,205,-,-,-,-,-,Rev. No. 00,Grey,0.4,1,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 270,70 - 90,250°C/2.16kg,0.4,5 mm/min,5 mm/min,5 mm/min,2 mm/min,-,-,-,-,69.9,-1.57,-3.48,8/13/2024 16:13,< 1,70,-1.67,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ 30% GF PBT White,730C3093,,10,20,1.48,1.52,28,32,0.2,110,130,4,8,"4,900.00","5,500.00",185,215,100,,,,-,3.2,200,210,,,,,,Rev. No. 00,White,0.4,0.25,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,70 - 90,250°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,8/29/2024 1:07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
ZiLITE™ 20% GF FR PBT White,730C2095F,,10,30,1.5,1.54,18,22,0.2,65,85,6,10,"3,000.00","5,000.00",130,150,50,-,-,-,V0,3.2,170,180,960,3.2,-,-,-,Rev. No. 00,White,0.4,1,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,250 - 260,60 - 90,250°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V0,960,960,,,,8/29/2024 16:17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 37% GF FR PA6 Grey,710C3087F,,5,15,1.38,1.42,35,39,0.2,130,150,5,9,"5,000.00","7,000.00",220,240,100,-,-,-,V0,3.2,205,215,825,3.2,,,,Rev. No. 00,Grey,0.3,1,-,225 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V0,960,825,,,,8/30/2024 10:56,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
CiLON™ 50% GF FR PA6 Black,710C5001F,,5,15,1.56,1.6,48,52,0.2,110,140,5,9,"6,000.00","7,000.00",200,240,80,-,-,,V0,3.2,210,230,825,3.2,-,-,-,Rev. No. 00,Black,0.2,1,-,220 ± 2,-,-,-,-,-,-,-,-,80 - 100,4-Feb,220 - 230,230 - 240,240 - 250,260 - 280,70 - 90,275°C/2.16kg,0.5,5 mm/min,5 mm/min,5 mm/min,2 mm/min,V2,V0,960,825,,,,9/3/2024 16:33,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
