,,,,,,,,
,,,,,,,,
,Action ID,Application,Component Name,Current Supplier Name,Current Supplier Grade,Current Supplier Datasheet,Product Grade,Product Description
,NSL224174,Electrical,busbar trunking system component,Tisan,"M01000486 PA6, UNR, ALEV GECİKTİRİCİLİ-HALOJEN İÇERMEZ, GRİ 7035",https://drive.google.com/open?id=1CA6no3lgbzDcX4hO9q5Liq4dC07aCmss,710C0081FB,#N/A
,NSL224175,Electrical,busbar trunking system,Epsan,EPLAMID 6 GV0 20 NC Q1C0C001,https://drive.google.com/open?id=12DXSxR9vxjDVyEWuL16Vc045jmYEdJR5,#N/A,#N/A
,NSL224171,Electrical,Electricals cable socket (bridge),Calco,730C3031,https://drive.google.com/open?id=1h9u4Yo-Myr3jwO_kUdZXpudBQmXgF0iy,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL224169,Automotive,Automotive,Sabic,XENOY X6320 BK 1066,,#N/A,#N/A
,NSL224179,Appliance,Air Handling Unit Accessories,Guzlon,E-35,https://drive.google.com/open?id=1oOKdhHqJaV3xgkrHScAmCcFiTkBUXoYl,#N/A,#N/A
,NSL223965,Electrical,Electrical parts,Radici/Ester,EP4130WW93,,730C3095F,#N/A
,NSL223966,Electrical,Electrical Parts,Radici/Ester,XU4330GY83,,#N/A,#N/A
,NSL224124,Automotive,AUTOMOTIVE BRACKET,Sabic,Xenoy X4840BK,https://drive.google.com/open?id=1GlmgE6qm3SGsc5QFKCsr1VAfKnzDKbPf,#N/A,#N/A
,NSL224125,Automotive,Electrical Switch,Celanese/Next,LW9030,https://drive.google.com/open?id=1MGw5KbVD6hSucXrQBRNl6nR7K-2RWUNE,770C3001,ZiLITE™ 30 % GF PBT+ASA BLK
,NSL223440,Industrial,N6GF40 Natural,Calco,710C,,710C4081,#N/A
,NSL224184,Automotive,VW Interiors parts ,Sabic,SLIDER,,#N/A,#N/A
,NSL224186,Industrial,Water Purify,Calco,CALCO,,#N/A,#N/A
,NSL224187,Industrial,Water Purifier Component,Calco,710C2383F4,,#N/A,#N/A
,NSL224194,Electrical,MCB ,"Radici/Ester, LoXIM",LoXIM / Radicii,,#N/A,#N/A
,NSL224195,Electrical,MCB,"Radici/Ester, Loxim",PA6MF25FRv2,,#N/A,#N/A
,NSL224199,Automotive,Capa Bak part,Calco,711C3001HF,,711C3002,CiLON™ 30 % GF PA 6 Black
,NSL224198,Automotive,capa Bak part,Calco,711C3001HF,,711C3002,CiLON™ 30 % GF PA 6 Black
,NSL224185,Automotive,Auto,Calco,CiLon 710C0032,,#N/A,#N/A
,NSL224230,Electrical,LED housing,NA,NA,,710C5291N,#N/A
,NSL224231,Electrical,LED housing,NA,NA,,710C5291,#N/A
,NSL224160,Automotive,auto parts,Calco,711C1001,,711C1001A,CiLON™ 15% GF PA6 Black
,NSL224233,Industrial,Potentiometer parts,NA,NA,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL224176,Electrical,Housing Cover,Celanese/Next,PGF-30,https://drive.google.com/open?id=1qZscfRdtzQBhav5AtYlelyRe54tAVHXY,#N/A,#N/A
,NSL224178,Electrical,ON/OFF knob,Celanese/Next,NGF 30,https://drive.google.com/open?id=1_uVLq3P2SZAhKSoj30NRkFXo1uXfxv6n,710C3021F,#N/A
,NSL224177,Electrical,ON/OFF knob,Celanese/Next,NGF30,https://drive.google.com/open?id=1RReJ4Udrbngk-bLmT6YmOXHjrAqK3Ga0,710C3061F,#N/A
,NSL224235,Electrical,Batter Box,Calco,CALCO,,501C0091T,#N/A
,NSL224232,Automotive,automotive part,NBD,NA,,710C3081,CiLON™ 30 % GF PA 6 Grey
,NSL224240,Electrical,Housing cover,Radici/Ester,ESTOPLAST XU420NGY35 [PA6-MF] Compound,"https://drive.google.com/open?id=165KQJlPqB6sWNkeT6wv57Mz5se2wdC2X, https://drive.google.com/open?id=1tepS46yopnwiipt-6_c4MfFQrQRZyPZV",710C2293F4,CiLON™ 20% MF FR PA6 RAL9003 White
,NSL224239,Electrical,Distribution Lock,Calco,new sop,https://drive.google.com/open?id=1X-hR2VqjFpCi9eB15mxx8DodCIA_is4g,710C2092MF,#N/A
,NSL224238,Electrical,Distribution Lock,Calco,NEW SOP,https://drive.google.com/open?id=1nBd83XEPWOQe3-LxObEFEEY3l-6yqOFE,710C2091MF,#N/A
,NSL224201,Electrical,ELECTRICAL,Calco,NA,,#N/A,#N/A
,NSL224200,Electrical,ELECTRICAL,Calco,NA,,#N/A,#N/A
,NSL224135,Appliance,Plastic dram 2 feet,na,NA,,711C3001IM,CiLON™ 30% GF PA6 Impact Modifier Black
,NSL224136,Appliance,Aram rest of chair,NA,NA,,720C0001,CiLON™ UF PA66 Black
,NSL224253,Electrical,MCB - Case & Cover,DSM/Lanxess/Envalior,DSM,,711C2081F1,#N/A
,NSL224254,Electrical,MCB,DSM/Lanxess/Envalior,DSM,https://drive.google.com/open?id=1fmMRIFfyN9oKFKq_-_ZavHXcsBdOm8CH,711C2092F,#N/A
,NSL224261,Electrical,MCB,NA,NA,,730C3391F,ZiLITE™ 30 % GF FR PBT White
,NSL224260,Textile,Textile Yarn Guide Assly,Calco,710C3031,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL223683,,,,,,710C1083,#N/A
,NSL224262,Electrical,Contactor,Ascend/Formulated,STARFLAM AFR450X2 GREY,,720C2082F2,#N/A
,NSL224243,Electrical,Electrical switch ,Not known,NA,https://drive.google.com/open?id=1RzEXf7rJRzxa1RgoK0yGEu9_85xNfV4T,720C3004HS,CiLON™ 30% GF PA66 Black
,NSL224244,Electrical,Electrical Switch Back,NA,NA,https://drive.google.com/open?id=1iIy81R581i4ulUTDlOau1C0rTDrHr7FO,710C0002F,#N/A
,NSL224275,Electrical,Holder,NA,NA,,730C3001,ZiLITE™ 30% GF PBT Black
,NSL224241,Automotive,na,none,na,https://drive.google.com/open?id=1llfJrPKak713lRmwdUqgeZWYVlN7roUT,721C0001F,CiLON™ UF FR PA66 Black
,NSL224242,Automotive,na,"Calco, none",na,,720C0001F,CiLON™ UF FR PA66 Reddish Black
,NSL224285,Automotive,Cover,NA,NA,,730C4001F,#N/A
,NSL224287,Appliance,toys part,NA,NA,,#N/A,#N/A
,NSL224286,Electrical,lighting ,NONE,NA,,730C2095F,#N/A
,NSL224278,Electrical,Holder,NA,NA,,730C3093,#N/A
,NSL224279,Automotive,Wheel cap,Own formulation,Na,,Insufficient Information,#N/A
,NSL224280,Automotive,Wheel Cover,DOMO,TECHNYL,,#N/A,#N/A
,NSL224277,Automotive,auto parts,Calco,NA,,#N/A,#N/A
,NSL224297,Electrical,RELAY ,Calco,NEW SOP,,#N/A,#N/A
,NSL224298,Electrical,REALY,Calco,NEW SOP,,Insufficient Information,#N/A
,NSL224299,Electrical,"Power Tool(Air blower, Hand drill, Cutter)","Calco, PI, AXEL",710C3031,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224354,Automotive, Railway Liner,"Calco, na",na,,#N/A,#N/A
,NSL224291,Electrical,ELECTRICAL PARTS,Sabic,LEXAN 943A,https://drive.google.com/open?id=1Fgyaxkyh5T6hcu8915_Jyzgk0ynAEyJy,#N/A,#N/A
,ok,Industrial,Chair Base,Ravago,Nylon 6G30 Black,,#N/A,#N/A
,a,Automotive,Automotive Part,Ascend/Formulated,NA,,#N/A,#N/A
,NSL224363,Electrical,Electrical Parts,Radici/Ester,XU4330GY83,,710C3087F,#N/A
,NSL224358,Automotive,automotive part,Calco,710C3031,,710C3033,CiLON™ 30% GF PA6 Natural
,NSL224360,Automotive,AUTOMOTIVE,Celanese/Next,NA,,711C3002,CiLON™ 30 % GF PA 6 Black
,NSL224375,Electrical,ELECTRICAL PART,OTHER,NA,,#N/A,#N/A
,NSL224272,Appliance,washing machine component,na,please see tds,"https://drive.google.com/open?id=1PXIRGqjC32rYm2QoF7H6WM2r1UOZNc7h, https://drive.google.com/open?id=1Y-_EPqpk__3bxULEratyP2sFOQOzVFyA, https://drive.google.com/open?id=1mlMOoOGCTZJiCuU_yhzE6-KIZ9Q0RQj3",,#N/A
,NSL224273,Appliance,Washing machine component,N/A,N/A,"https://drive.google.com/open?id=1JGTXcgcqnlXo4Mz9aZ_7gfR00HuxjxFb, https://drive.google.com/open?id=1S7Qam3hB5q2fef2Rmimj_e5P6Zl4-bad, https://drive.google.com/open?id=1YQSa4nTyBR8Xd3E3DT0loZ17FIL9ZCCM",720C1032,#N/A
,NSL224274,Appliance,Oven upper cover component,N/A,N/A,"https://drive.google.com/open?id=1n89X5JRPHCJC6u-ZyLcwdHjBCmTfIihx, https://drive.google.com/open?id=1SG6m1MB1pv1pBIEJQ093BEhGL49czV0y, https://drive.google.com/open?id=1J2SIGYkwWv7wolUVJQgGkn0vunnu61Iy",730C2002HS,ZiLITE™ 20 % GF PBT LED Black
,NSL224359,Automotive,Automotive Clamping,DSM/Lanxess/Envalior,SXXIC UF,,#N/A,#N/A
,NSL224374,Automotive,Battery Case,Sabic,CYC0LOY C6600-701 ,,#N/A,#N/A
,NSL224371,Automotive,Battery Case,Radici/Ester,ESTER PRODUCT (710C3001F),,710C3001F,CiLON™ 30 % GF FR PA 6 Black
,NSL224370,Automotive,Engine Cover,DSM/Lanxess/Envalior,DSM TESTED AT OUR END,,#N/A,#N/A
,NSL224372,Electrical,NA,NONE,NA,,730C3001,ZiLITE™ 30% GF PBT Black
,NSL224326,Electrical,Electrical,Radici/Ester,Radici,,720C3031F,CiLON™ 30% GF FR PA66 Natural
,NSL224381,Electrical,Cable tie,Chinese source ,NA,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL224379,Electrical,Anchor Switiches,DSM/Lanxess/Envalior,Akulon K222-KGV4 ,https://drive.google.com/open?id=1iCwFbf-r0m99epsOvAYCWkiGMINfjWvu,710D2004F,#N/A
,NSL224355,Industrial,Chari Base,Ravago,Nylon 6GF30,,#N/A,#N/A
,NSL224373,Electrical,NA,NA,NONE,https://drive.google.com/file/d/1Xz48LSD27pmPrP_GnN6XS_dE05pugqh6/view?usp=sharing,730C2091,ZiLITE™ 20% GF PBT CFL White
,NSL224392,Electrical,Led bulb ,Calco,730C2091,,730C2091,ZiLITE™ 20% GF PBT CFL White
,NSL224393,Automotive,Water septetor,DSM/Lanxess/Envalior,LANXESS_Durethan_B30S_000000_ISO_EN,https://drive.google.com/open?id=1GDJ3ThgBHbaA-gsd775bmcWMPwjcur0z,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL224394,Automotive,HEADLAMP HOUSING,MACHINO,PPTF 20,,#N/A,#N/A
,NSL224395,Automotive,HEADLAMP HOUSING,MACHINO,PPTF 40,,#N/A,#N/A
,NSL224398,Electrical,BLOWER FAN HOUSING,TORRY,TOROLAC 7164,,#N/A,#N/A
,NSL224402,Electrical,Electrical,Calco,New sop,,#N/A,#N/A
,NSL224400,Automotive,Side Door trim,Sabic,Na,,#N/A,#N/A
,NSL224387,Automotive,Fall Protection Equipment,DSM/Lanxess/Envalior,SGF30 Black ,,711C3003,CiLON™ 30 % GF PA 6 Black
,NSL224388,Automotive,Fall equipment,DSM/Lanxess/Envalior,SGF 30 Green,,710C3052,CiLON™ 30% GF PA6 Light Green
,NSL224389,Automotive,Fall Protection,DSM/Lanxess/Envalior,SGF30 Red,,710C3021,CiLON™ 30 % GF PA6 Pink
,NSL224429,Automotive,NA,NA,NA,,720C3031,CiLON™ 33% GF PA 66 Natural
,NSL224399,Automotive,Automotive,Calco,500C2031,,500C2031,HiLENE™ 20 % GF PP Natural
,NSL224428,Automotive,Automotive,Calco,500C3031,,500C3031,HiLENE™ 30% GF PP Natural
,NSL224432,Electrical,Electrical part,NA,NA,,#N/A,#N/A
,NSL224376,Industrial,Textile part,PI. & K-LON,Pi-Lon650P,https://drive.google.com/open?id=1kn_FK-j6eW_UOTQq_qVarOn2qu9iBOHO,710C5001HS,#N/A
,NSL224288,Electrical,MCB,Calco,NA,,710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey
,NSL224426,Electrical,Electrical part,Calco,NA,,710C0022F,#N/A
,NSL224433,Appliance,Bush,Calco,Nylon 6 GF30 Yellow,,#N/A,#N/A
,NSL224364,Textile,Textile Bobbin,"Guzlon, PI, K-Lon",G3H(N),https://drive.google.com/open?id=11qNjWKCsfxT6xty_jBjAhO4_B_uGmhFR,710C3035,#N/A
,NSL224434,Automotive,Automotive Switch housing (UWB),Calco,730C3001HDL,,730C3001HDL,#N/A
,NSL224439,Electrical,Electrical Switches,Ascend/Formulated,STARFLAM AFR450X2,,720C2082F2,#N/A
,NSL224431,Automotive,Automotive,Calco,510C3001,,#N/A,#N/A
,NSL224441,Automotive,Automotive (Bus body manufacturer),"Dupont/Performance Speciality, BASF",n/a,,710C5001F1,#N/A
,NSL224452,Automotive,Automotive Parts,Ascend/Formulated,Vydyne R530H BK02 PA 66 30GF,https://drive.google.com/open?id=1NJL3lPM3DNXdkBgXiO3BFKsxTmN8MA0Z,720C3001A,#N/A
,NSL224403,Automotive,Automotive Electrical Parts,DSM/Lanxess/Envalior,Durethan BKV30H3.0EF 901510,https://drive.google.com/open?id=1-JkK9hh_LsElFt9rXhEiK7JXMCr0ox6Z,710C3001HFHS,"CiLON™ 30% GF PA6 High Flow, Heat Stabilized Black"
,NSL224454,Appliance,Electronics apppliances,Domo/ TECHNYL ,TECHNYL® C 218 V35 BLACK 21N,https://drive.google.com/open?id=1UMKj6MPznWgAB5BdXcqH4Xkq13fDgyjP,710C3003HS,#N/A
,NSL224456,Textile,Textile Bobbin,DSM/Lanxess/Envalior,Akulon K224 G6,https://drive.google.com/open?id=1H_LuCiQMHRtKHF6LSVq1szMRsXkLL3rB,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224456,Textile,Textile Parts,Guzlon,M28RC,https://drive.google.com/open?id=1eknqu_b8M9g4PeG1xwcKZ5shCbo6iuCB,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224456,Electrical,Connectors & Enclosure,Calco,NA,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224451,Electrical,Compound for switch ,"DSM/Lanxess/Envalior, Radici/Ester",NA,,730C2031F,ZiLITE™ 20% GF FR PBT Natural
,NSL224453,Automotive,Automotive parts,Ascend/Formulated,Vydyne R530H BK02 PA 66 30GF,https://drive.google.com/open?id=1Qij3cXI9fbdbWv1TVZpFLlxsMD4auQCv,720C3034,CiLON™ 30% GF PA66 Natural
,NSL224404,Automotive,Automotive Electrical Parts,DSM/Lanxess/Envalior,Durethan BKV30H3.0EF 901510,https://drive.google.com/open?id=1P6VMU0QmOY0eSuIaixZdkUoCe2fi9mex,710C1001HS,CiLON™ 15% GF PA6 Heat Stabilized Black
,NSL224405,Automotive,Automotive Electrical Parts,DSM/Lanxess/Envalior,Durethan BKV30H3.0EF 901510,https://drive.google.com/open?id=1xHpUsDwJxt_F7zlhTPQR-m-3Xxs4kj4_,710C3001HS,#N/A
,NSL224406,Automotive,Automotive Electrical Parts,DSM/Lanxess/Envalior,Durethan BKV30H3.0EF 901510,https://drive.google.com/open?id=1SyEYlQltu8reBOSxk1UgBVKjeARKOPst,710C5001HS,#N/A
,NSL224407,Automotive,Automotive Electrical Parts,DSM/Lanxess/Envalior,Durethan BKV30H3.0EF 901510 ,https://drive.google.com/open?id=1Dybt7P_1g9ni5l3mDs2WGWbkemY2HW-Z,730C0001,"ZiLITE™ Unfilled PBT, Black"
,ajoy.sarker@calco.in,Electrical,CKT Breaker,Radici/Ester,Polyamide 66 - Glass Reinforcement 30%,https://drive.google.com/open?id=1grejAYNgno7RN4yi1Rra6ZZ1hqyc7gQy,#N/A,#N/A
,NSL224450,Automotive,Electrical Knob,"Calco, NEW SOP",730C3001F,,730C3001F,ZiLITE™ 30% GF FR PBT Black
,NSL224459,Industrial,Water Tap/Bibecock,"Calco, DSM/Lanxess/Envalior",B6100,,730C0032,ZiLITE™ UF PBT Natural
,NSL224460,Automotive,Automotive part ,Radici/Ester,RDTBRB300 Black,,740C3002,ZiLITE™ 30% GF PBT/PET Black
,NSL224466,Electrical,Relay base,Sabic,Cycoloy C3650 ,https://drive.google.com/open?id=1CozOhMSwyIlRJ0bqo2OJyEYlfGDPdvmz,760C0081F,PiCAN™ PC/ABS FR Alloy Grey
,NSL224470,Electrical,Electrical part,NA,NA,,710C3001F,CiLON™ 30 % GF FR PA 6 Black
,NSL224474,Industrial,"Spindel, Mohara",NA,NA,,710C1031,CiLON™ 15 % GF PA 6 Natural
,NSL224248,Electrical,Electrical Connectors,Celanese/Next,FRIANYL® A3 RV0 GY 7035G & FRIANYL A3 RV0 GY 7046G,"https://drive.google.com/open?id=1ljNSJeqJZATvGtR46dwBByYbCdWYYkhq, https://drive.google.com/open?id=1Y72MLwkue-fdtkvveC8k_NuGv7S-Tcl8",720C0081F,#N/A
,ajoy.sarker@calco.in,Electrical,Cable Tie,Chinese source,NA,,#N/A,#N/A
,NSL224484,Electrical,CKT Breaker,Radici/Ester,Polyamide 66 - Glass Reinforcement 30% - Heat Stabilized,https://drive.google.com/open?id=1lMGsk50w2TTc0mpRXCPByvTCzXXPCTx_,720C3034HS,#N/A
,NSL224485,Electrical,Refrigerator Door Switch,BASF,Ultramid ®  A3SK ,https://drive.google.com/open?id=1LkWd7QI3jAL5McDkcd043eGk15DB9cc7,720C0031,CiLON™ UF PA66 Natural
,NSL224494,Automotive,Automotive part,NA,NA,,#N/A,#N/A
,NSL224476,Industrial,Pump parts,DSM/Lanxess/Envalior,SGF30 FR NATURAL,,Insufficient Information,#N/A
,NSL224502,Electrical,Electrical part,NA,NA ,,710C5001F,#N/A
,NSL224477,Industrial,Pump parts,Sabic,LEXAN FR RESINS 500R,https://drive.google.com/open?id=1invMIHQfNrS3pRXCx56iwsVuT-iFSWY1,750D1001F,#N/A
,NSL224478,Industrial,Pump parts,Radici/Ester,ESTOPLAST EP4030BG01,https://drive.google.com/open?id=15TJbk6MbrSute916IT-OO_gZcWYE7ML0,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL224475,Industrial,Impeller,Sabic,NORYL GFN20 / DPNOR GF 212,,#N/A,#N/A
,NSL224509,Automotive,Automotive part ,NA,NA,,730C3031,ZiLITE™ 30% GF PBT Natural
,NSL224506,Automotive,Automotive,Calco,721C3001,,711C0001,CiLON™ Unfilled PA 6 Black
,NSL224508,Electrical,Electrical part,DSM/Lanxess/Envalior,ArniteAV2372ENSI,,740C3033,#N/A
,NSL224507,Automotive,AUTOMOTIVE,Calco,711C0001,,#N/A,#N/A
,NSL224505,Electrical,electric fan housing,DSM/Lanxess/Envalior,Lanxess Pocan B4225 000000,https://drive.google.com/open?id=11O6oBEJW2T9VY4PKGQxN6stbGWE3X4f6,730C2001F,#N/A
,NSL224512,Industrial,materials to be used in various applications,BASF,Ultramid,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224511,Automotive,Door Handle - Injection Blow moulding,LANXESS AND DOMO,BKV30H2.0 & TECHNYL SX V30 BK,,710D3002UV,#N/A
,NSL224516,Electrical,electrical part ,NA,NA,,730C2091,ZiLITE™ 20% GF PBT CFL White
,NSL224515,Industrial,na,Calco,NA,,#N/A,#N/A
,NSL224518,Automotive,Automive Cover,NEW DEVLOPMENT,NA,,#N/A,#N/A
,NSL224411,Electrical,Battery case,NA,NA,,#N/A,#N/A
,NSL224523,Electrical,Electrical Part  ,Radici/Ester,Radici,,720C3031,CiLON™ 33% GF PA 66 Natural
,NSL224522,Automotive,Auto Component,DSM/Lanxess/Envalior,N66GF33 Black,,#N/A,#N/A
,NSL224490,FIBC Application (Jumbo Bag),Jumbo Bag,Ennerplast,EP-41007,,#N/A,#N/A
,NSL224489,Electrical,Tube Light Holder,Japanese Source ,Not mentioned ,,#N/A,#N/A
,NSL224500,Electrical,Tube light Holder,Local supplier,Not mentioned,,#N/A,#N/A
,NSL224491,FIBC Application  ( Jumbo Bag ),Jumbo Bag,Ennerplast,Green EP-51524,,#N/A,#N/A
,NSL224492,FIBC Application,Jumbo Bag,Ennerplast,Black EP-82010,,#N/A,#N/A
,NSL224493,Electrical,LED Bulb ,Chinese source,Not mentioned,,731D5391,#N/A
,NSL224513,Geo Textile ,"Geo Bag, ",Indian Supplier,Not mentioned,,Reject,#N/A
,NSL224514,PSF application ,Synthetic Wool,Colorplus Bangladesh,Not mentioned,,#N/A,#N/A
,NSL224486,House Hold,Wardrobe Frontcover,Local,not mentioned,,900C0091,ABS WHITE
,NSL224487,House Hold,Wardrobe Front Cover,Local Supplier,Not mentioned,,900C0001,ABSiL™ UF ABS Black
,NSL224524,Automotive,Export part,NA,NA,,720C0002ST,CiLON™ UF PA66 Super Tough Black
,NSL224463,Electrical,Electrical,Calco,711C2001F,,711C2001F,CiLON™ 20% GF FR PA6 Black
,NSL224517,Industrial,DSM,Calco,730C0032,,730C0032,ZiLITE™ UF PBT Natural
,NSL223733,Industrial,Machine part,Calco,720C1002,,#N/A,#N/A
,NSL224529,Electrical,Knob MCB,Celanese/Next,30% gf FR,,710C3031F,"CiLON™ 30 % GF FR PA 6 Natural, Halogenated"
,NSL224530,Electrical,Knob MCB,Celanese/Next, Na,,710C3081F,CiLON™ 30% GF FR PA6 Grey
,NSL224537,Automotive, Castor Wheel ,NA,NA,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL224538,Automotive,Engine Bobbins,NA,NA,,721C3001,CiLON™ 33% GF PA 66 Black
,NSL224539,Automotive, Engine Bobbins ,NA,NA,,721C3002,CiLON™ 33% GF PA 66 Black
,NSL224541,Automotive,Automotive part,NA,NA,,710C3001J,#N/A
,NSL224542,Automotive,Automotive part ,NA,NA,,710C1001J,#N/A
,NSL224545,Lighting,Nett,Kingfa,PA66-C112 BK002,https://drive.google.com/open?id=1YyYAg5Dxbbd5CMCXM1JnGPQ0cGDh8CX_,721C0001MT,CiLON™ Unfilled PA66 Medium Tough Black
,NSL224281,Automotive,WHEEL COVER,Ascend/Formulated,NA,,#N/A,#N/A
,NSL224563,Electrical,HVE (HIGH VOLTAGE ELECTRICAL BOX),Calco,NEW SOP,,730D3005F,#N/A
,NSL224567,Automotive,B22 cap,NA,NA,,730C2091LOp,#N/A
,NSL224564,Automotive,Electrical Box,RIA POLYMERS,    PC+ABS 10% GF FR V0 High HDT,https://drive.google.com/open?id=1CHq1YWOE1ofc7PCsPn7j4-QbypoetA_P,760C1002F,#N/A
,NSL224571,Electrical,Electrical part,NA,NA,,721C1001,CiLON™ 15% GF PA 66 Black
,NSL224553,Electrical,switched,NA,NA,,710C0001,CiLON™ Unfilled PA 6 Black
,NSL224574,Industrial,Hand tools/ Batteries housing,Nan Ya,"1403G6 Flame Retarded,30%Glass Fiber Reinforced PBT","https://drive.google.com/open?id=1mwforvEzgjAxMputDq4WGbKMeQEIR_00, https://drive.google.com/open?id=1e5Fzb6Ojh-zJzgLxPv4RAxoXUp56F48s, https://drive.google.com/open?id=1haWtzPWLJFk5dna2Cdr0rgr7RikJdl5i, https://drive.google.com/open?id=1uFAsASL8-hH7unR8iKafM-aoTIoL3pa1, https://drive.google.com/open?id=1ZA11knREG4WV6sCMClkJbYBSVRuDkTd8",730C3041F,#N/A
,NSL224573,Electrical,Contactor,"DSM/Lanxess/Envalior, Ascend/Formulated",N66GF25FRFR,,722D2001F,#N/A
,NSL224572,Electrical,Kobs,Ascend/Formulated,SN6GF30 Black,https://drive.google.com/open?id=1J2aFiLzLR7_Lp2y6pn5vOK0Ep1EAucVE,710D3006-4,#N/A
,NSL224550,Appliance,Griddle  scraper / Pizza Rocker ,na,na,,#N/A,#N/A
,NSL224575,Industrial,heavy duty transportation wheels,Poliblend,SECOMID B 30 GF NERO . It is declared near to prime or primetta as Italians like to call it. See attached TDS.,https://drive.google.com/open?id=11PmplSYb_byWk_g0M_z1iXTee1U-sjSL,711C3003,CiLON™ 30 % GF PA 6 Black
,NSL224577,Automotive,Automotive Knob,Calco,720C0031,,720C0031,CiLON™ UF PA66 Natural
,NSL224570,Industrial,WATER TAP,Calco,730C0032,,730C0032,ZiLITE™ UF PBT Natural
,NSL224566,Electrical,NET,KINGFA,KingFa PET RG305 BK027，Black,,#N/A,#N/A
,NSL224568,Electrical,MOSCUTO COIL,KINGFA,PA6-RNG10,https://drive.google.com/open?id=1zonIcLUCtI07xbAgXkMa_jc595pQMy46,#N/A,#N/A
,NSL224458,Electrical,ELECTRICAL,LOCAL,LOCAL,,#N/A,#N/A
,NSL224578,Automotive,Electrical Cap,"Dupont/Performance Speciality, ",RYNITE 530,https://drive.google.com/open?id=1PTE9qHK6o_7QAxEjsAvs7knTzQoZnW5n,740D3041F,#N/A
,NSL224579,Automotive,KEY COMPONENT ,Calco, 711c3001HF,,711C3001HF,CiLON™ 30 % GF PA 6 Black
,NSL224580,Automotive,AUTOMOBILE PART ,NA,NA,,710C0001HS,#N/A
,NSL224581,Automotive,AUTOMOTIVE PART ,NA ,NA ,,720C3004HSHD,"CiLON™ 30% GF PA66 Heat Stabilized, Hydrolysis Resistance Black"
,NSL224582,Appliance,CHAIR,NA,NA,,710C3091HFHS,#N/A
,NSL224588,Industrial,Textile spendle break,NA,NA,,710C0031,CiLON™ Unfilled PA 6 Natural
,NSL224589,Industrial,Textile spendle break,NA,NA,,711C0001,CiLON™ Unfilled PA 6 Black
,NSL224562,Electrical,protection device of electrical accessories and lighting ,NA,NA,,720C1031,CiLON™ 15 % GF PA 66 Natural
,NSL224590,households,bird feed container,none,NA,,720C5031,CiLON™ 50% GF PA66 Natural
,NSL224591,Household,Bird Feed Container ,none,na,,720C6031,CiLON™ 60% GF PA66 Natural
,NSL224555,Electrical,bulb holder body ,na,NA,https://drive.google.com/open?id=1mdyofE2_v3Duq9ceXepQ9vZW647qOquI,#N/A,#N/A
,NSL224596,Automotive,SWITCH BIKE,BREAKS,PA6 UF BLK,,710C0001UVS,CiLON™ UF PA6 UV Stabilized Black
,NSL224551,Appliance,NA,Calco,NA,,#N/A,#N/A
,NSL224552,Appliance,NA,Calco,710C1032,,#N/A,#N/A
,NSL224569,Industrial,Impeller ,"JJ, PI",N.A.,,Insufficient Information,#N/A
,NSL224583,Industrial,Agriculture parts,"Ravago, Guzlon",N/A.,,#N/A,#N/A
,NSL224607,Industrial,chair part,Calco,710C3031HFHS,,710C3032HFHS,#N/A
,NSL224608,Automotive,automotive part,"Calco, NA",NA,,711C0002,CiLON™ Unfilled PA 6 Black
,NSL224606,Appliance,Arm sctachem LHRH ,Calco,"30% GF PA6 High Flow, Heat Stabilized Natural.(710C3031HFHS)",,710C3031HFHS,"CiLON™ 30% GF PA6 High Flow, Heat Stabilized Natural"
,NSL224609,Appliance,Chai Part ,NA,NA ,,710C3032HFHS,#N/A
,NSL224280,Automotive,WHEEL CAP,PIR,NA,,#N/A,#N/A
,NSL224616,Automotive,automotive,Calco,711C3005,,711C3005,CiLON™ 35% GF PA6 Compound BLK
,NSL224617,Automotive,Many parts,NA,NA,,721C3004,CiLON™ 30% GF PA66 Black
,NSL224628,Electrical,MCB,DSM/Lanxess/Envalior,RG301,,732C3001F,#N/A
,NSL224615,Automotive,automotive,Calco,710C3031,,710C3031,CiLON™ 30% GF PA 6 Natural
,NSL224629,Automotive,exterior body panels,new development,new development,https://drive.google.com/open?id=1yKbPIumdivUzRWS3QFO_lIxHBHiAcVuJ,#N/A,#N/A
,NSL224633,Electrical,MCB ,Biser,ral 7035 - XU43251 Gy79,,710C2383F6,CiLON™ 20% MF + 5% GF FR PA6 Goldmedal Grey
,NSL224635,Electrical,Contactor,DSM/Lanxess/Envalior,PA66GF35 to 40,https://drive.google.com/open?id=1sTrWGDPTpaF7FIhXHpmLwLaRHfotntqa,720D2002F,#N/A
